set_key	property	product	type	charge_type	product_fee	min_ltv	max_ltv	rate	min_term	max_term	min_rolled_months	max_rolled_months	min_loan	max_loan	min_icr	max_defer_int
Bridging_Fix	Residential	BTL Single Property Investment	Fixed	First Charge	2	60	70	0.85	3	18	3	18	£100,000	£4,000,000		
Bridging_Fix	Residential	BTL Single Property Investment	Fixed	First Charge	2	70	75	0.95	3	18	3	18	£100,000	£4,000,000		
Bridging_Fix	Residential	Large Single Property Investment	Fixed	First Charge	2	0	60	0.85	3	18	3	18	£4,000,001	£20,000,000		
Bridging_Fix	Residential	Large Single Property Investment	Fixed	First Charge	2	60	70	0.95	3	18	3	18	£4,000,001	£20,000,000		
Bridging_Fix	Residential	Large Single Property Investment	Fixed	First Charge	2	70	75	1.05	3	18	3	18	£4,000,001	£20,000,000		
Bridging_Fix	Residential	BTL Portfolio Investment	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Residential	BTL Portfolio Investment	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Residential	BTL Portfolio Investment	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Residential	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£30,000,000		
Bridging_Fix	Residential	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£30,000,000		
Bridging_Fix	Residential	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£30,000,000		
Bridging_Fix	Residential	Permitted & Light Development Finance	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Residential	Permitted & Light Development Finance	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Residential	Permitted & Light Development Finance	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Residential	Second Charge	Fixed	Second Charge	2	0	60	0.8	3	18	3	18	£100,000	£4,000,000		
Bridging_Fix	Residential	Second Charge	Fixed	Second Charge	2	60	70	0.9	3	18	3	18	£100,000	£4,000,000		
Bridging_Fix	Residential	Second Charge	Fixed	Second Charge	2	70	75		3	18	3	18	£100,000	£4,000,000		
Bridging_Fix	Semi-Commercial	Semi-Commercial	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£3,000,000		
Bridging_Fix	Semi-Commercial	Semi-Commercial	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£3,000,000		
Bridging_Fix	Semi-Commercial	Semi-Commercial	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£3,000,000		
Bridging_Fix	Semi-Commercial	Semi-Commercial Large Loan	Fixed	First Charge	2	0	60	0.85	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Fix	Semi-Commercial	Semi-Commercial Large Loan	Fixed	First Charge	2	60	70	0.95	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Fix	Semi-Commercial	Semi-Commercial Large Loan	Fixed	First Charge	2	70	75	1.05	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Fix	Commercial	Permitted & Light Development Finance	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Commercial	Permitted & Light Development Finance	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Commercial	Permitted & Light Development Finance	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Commercial	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Commercial	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Commercial	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Commercial	Commercial Large Loan	Fixed	First Charge	2	0	60	0.85	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Fix	Commercial	Commercial Large Loan	Fixed	First Charge	2	60	70	0.95	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Fix	Commercial	Commercial	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£3,000,000		
Bridging_Fix	Commercial	Commercial	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£3,000,000		
Bridging_Fix	Commercial	Commercial	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£3,000,000		
Bridging_Fix	Commercial	Commercial Large Loan	Fixed	First Charge	2	70	75	1.05	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Fix	Semi-Commercial	Permitted & Light Development Finance	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Semi-Commercial	Permitted & Light Development Finance	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Semi-Commercial	Permitted & Light Development Finance	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£20,000,000		
Bridging_Fix	Semi-Commercial	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	0	60	0.8	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Semi-Commercial	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	60	70	0.9	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Semi-Commercial	Developer Exit Bridge (Multiple Units)	Fixed	First Charge	2	70	75	1	3	18	3	18	£100,000	£50,000,000		
Bridging_Fix	Residential	BTL Single Property Investment	Fixed	First Charge	2	0	60	0.75	3	20	3	18	£100,000	£4,000,000		
Bridging_Var	Residential	BTL Single Property Investment	Variable	First Charge	2	60	70	0.5	3	18	3	18	£100,000	£4,000,000		
Bridging_Var	Residential	BTL Single Property Investment	Variable	First Charge	2	70	75	0.6	3	18	3	18	£100,000	£4,000,000		
Bridging_Var	Residential	Large Single Property Investment	Variable	First Charge	2	0	60	0.5	3	18	3	18	£4,000,001	£20,000,000		
Bridging_Var	Residential	Large Single Property Investment	Variable	First Charge	2	60	70	0.6	3	18	3	18	£4,000,001	£20,000,000		
Bridging_Var	Residential	Large Single Property Investment	Variable	First Charge	2	70	75	0.7	3	18	3	18	£4,000,001	£20,000,000		
Bridging_Var	Residential	BTL Portfolio Investment	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Residential	BTL Portfolio Investment	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Residential	BTL Portfolio Investment	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Residential	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£30,000,000		
Bridging_Var	Residential	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£30,000,000		
Bridging_Var	Residential	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£30,000,000		
Bridging_Var	Residential	Permitted & Light Development Finance	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Residential	Permitted & Light Development Finance	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Residential	Permitted & Light Development Finance	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Residential	Second Charge	Variable	Second Charge	2	0	60	0.45	3	18	3	18	£100,000	£4,000,000		
Bridging_Var	Residential	Second Charge	Variable	Second Charge	2	60	70	0.55	3	18	3	18	£100,000	£4,000,000		
Bridging_Var	Residential	Second Charge	Variable	Second Charge	2	70	75		3	18	3	18	£100,000	£4,000,000		
Bridging_Var	Residential	BTL Single Property Investment	Variable	First Charge	2	0	60	0.4	3	20	3	18	£100,000	£4,000,000		
Bridging_Var	Semi-Commercial	Semi-Commercial	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£3,000,000		
Bridging_Var	Semi-Commercial	Semi-Commercial	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£3,000,000		
Bridging_Var	Semi-Commercial	Semi-Commercial	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£3,000,000		
Bridging_Var	Semi-Commercial	Semi-Commercial Large Loan	Variable	First Charge	2	0	60	0.5	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Var	Semi-Commercial	Semi-Commercial Large Loan	Variable	First Charge	2	60	70	0.6	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Var	Semi-Commercial	Semi-Commercial Large Loan	Variable	First Charge	2	70	75	0.7	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Var	Commercial	Permitted & Light Development Finance	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Commercial	Permitted & Light Development Finance	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Commercial	Permitted & Light Development Finance	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Commercial	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Commercial	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Commercial	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Commercial	Commercial Large Loan	Variable	First Charge	2	70	75	0.7	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Var	Commercial	Commercial	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£3,000,000		
Bridging_Var	Commercial	Commercial	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£3,000,000		
Bridging_Var	Commercial	Commercial	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£3,000,000		
Bridging_Var	Commercial	Commercial Large Loan	Variable	First Charge	2	0	60	0.5	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Var	Commercial	Commercial Large Loan	Variable	First Charge	2	60	70	0.6	3	18	3	18	£3,000,001	£15,000,000		
Bridging_Var	Semi-Commercial	Permitted & Light Development Finance	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Semi-Commercial	Permitted & Light Development Finance	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Semi-Commercial	Permitted & Light Development Finance	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£20,000,000		
Bridging_Var	Semi-Commercial	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	0	60	0.45	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Semi-Commercial	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	60	70	0.55	3	18	3	18	£100,000	£50,000,000		
Bridging_Var	Semi-Commercial	Developer Exit Bridge (Multiple Units)	Variable	First Charge	2	70	75	0.65	3	18	3	18	£100,000	£50,000,000		
Fusion	Residential	Small	Variable	First Charge	2	0	75	4.79	24	24	6	12	£100,000	£3,000,000	110	2
Fusion	Residential	Medium	Variable	First Charge	2	0	75	5.69	24	24	6	12	£3,000,001	£10,000,000	110	2
Fusion	Residential	Large	Variable	First Charge	2	0	75	5.99	24	24	6	12	£10,000,001	£1,000,000,000	110	2
Fusion	Commercial	Small	Variable	First Charge	2	0	70	4.99	24	24	6	12	£100,000	£3,000,000	110	2
Fusion	Commercial	Medium	Variable	First Charge	2	0	70	5.79	24	24	6	12	£3,000,001	£10,000,000	110	2
Fusion	Commercial	Large	Variable	First Charge	2	0	70	6.29	24	24	6	12	£10,000,001	£1,000,000,000	110	2
Fusion	Semi-Commercial	Small	Variable	First Charge	2	0	70	4.99	24	24	6	12	£100,000	£3,000,000	110	2
Fusion	Semi-Commercial	Medium	Variable	First Charge	2	0	70	5.79	24	24	6	12	£3,000,001	£10,000,000	110	2
Fusion	Semi-Commercial	Large	Variable	First Charge	2	0	70	6.29	24	24	6	12	£10,000,001	£1,000,000,000	110	2
